Filename,Source_Path,Status,Max_Diameter_cm,Min_Diameter_cm,Pixel_to_CM_Ratio,Output_Path
Swimming_7-30-25_tolC_0.1uMDIP_#1.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_tolC_0.1uMDIP_#1.jpg,Success,3.21,3.15,99.8,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_019_Swimming_7-30-25_tolC_0.1uMDIP_#1.png
Swimming_7-30-25_tolC_0.1uMDIP_#2.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_tolC_0.1uMDIP_#2.jpg,Success,9.99,9.98,99.6,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_020_Swimming_7-30-25_tolC_0.1uMDIP_#2.png
Swimming_7-30-25_tolC_0.1uMDIP_#3.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_tolC_0.1uMDIP_#3.jpg,Success,9.95,9.71,99.8,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_021_Swimming_7-30-25_tolC_0.1uMDIP_#3.png
Swimming_7-30-25_tolC_0.3uMDIP_#1.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_tolC_0.3uMDIP_#1.jpg,Success,9.99,9.99,99.8,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_022_Swimming_7-30-25_tolC_0.3uMDIP_#1.png
Swimming_7-30-25_tolC_0.3uMDIP_#2.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_tolC_0.3uMDIP_#2.jpg,Success,9.99,9.98,99.6,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_023_Swimming_7-30-25_tolC_0.3uMDIP_#2.png
Swimming_7-30-25_tolC_0.3uMDIP_#3.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_tolC_0.3uMDIP_#3.jpg,Success,4.18,4.12,98.8,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_024_Swimming_7-30-25_tolC_0.3uMDIP_#3.png
Swimming_7-30-25_tolC_0uMDIP_#1.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_tolC_0uMDIP_#1.jpg,Success,3.76,3.43,98.8,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_025_Swimming_7-30-25_tolC_0uMDIP_#1.png
Swimming_7-30-25_tolC_0uMDIP_#2.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_tolC_0uMDIP_#2.jpg,Success,3.92,3.88,99.4,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_026_Swimming_7-30-25_tolC_0uMDIP_#2.png
Swimming_7-30-25_tolC_0uMDIP_#3.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_tolC_0uMDIP_#3.jpg,Success,9.99,9.99,99.6,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_027_Swimming_7-30-25_tolC_0uMDIP_#3.png
Swimming_7-30-25_tolC_10uMDIP_#1.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_tolC_10uMDIP_#1.jpg,Success,9.99,9.98,99.6,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_028_Swimming_7-30-25_tolC_10uMDIP_#1.png
Swimming_7-30-25_tolC_10uMDIP_#2.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_tolC_10uMDIP_#2.jpg,Success,10.01,9.94,98.8,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_029_Swimming_7-30-25_tolC_10uMDIP_#2.png
Swimming_7-30-25_tolC_10uMDIP_#3.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_tolC_10uMDIP_#3.jpg,Success,9.99,9.99,99.8,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_030_Swimming_7-30-25_tolC_10uMDIP_#3.png
Swimming_7-30-25_tolC_1uMDIP_#1.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_tolC_1uMDIP_#1.jpg,Success,9.99,9.98,99.4,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_031_Swimming_7-30-25_tolC_1uMDIP_#1.png
Swimming_7-30-25_tolC_1uMDIP_#2.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_tolC_1uMDIP_#2.jpg,Success,9.99,9.97,99.6,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_032_Swimming_7-30-25_tolC_1uMDIP_#2.png
Swimming_7-30-25_tolC_1uMDIP_#3.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_tolC_1uMDIP_#3.jpg,Success,9.99,9.97,99.8,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_033_Swimming_7-30-25_tolC_1uMDIP_#3.png
Swimming_7-30-25_tolC_3uMDIP_#1.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_tolC_3uMDIP_#1.jpg,Success,5.82,5.58,99.0,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_034_Swimming_7-30-25_tolC_3uMDIP_#1.png
Swimming_7-30-25_tolC_3uMDIP_#2.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_tolC_3uMDIP_#2.jpg,Success,9.95,9.73,99.4,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_035_Swimming_7-30-25_tolC_3uMDIP_#2.png
Swimming_7-30-25_tolC_3uMDIP_#3.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_tolC_3uMDIP_#3.jpg,Success,9.99,9.99,99.8,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_036_Swimming_7-30-25_tolC_3uMDIP_#3.png
